product_name,brands,categories_en,origins_en,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,nutrition-score-fr_100g
Le petit Yaourt bio et local - Nature,Quart de lait,"Dairies,Fermented foods,Fermented milk products,Yogurts,Plain yogurts",France,326.0,3.9,2.7,7.0,4.0,3.9,0.11,0.0
12 P’tits Beignets à la Pomme du Val de Loire,Leclerc,"Snacks,Sweet snacks,Sweet Fritters",France,1318.0,14.0,1.7,42.0,12.0,5.1,0.89,5.0
Sticks fromage,Céréal bio,"Plant-based foods and beverages,Plant-based foods,Legumes and their products,Snacks,Salty snacks,Appetizers,Meals,Breaded products,Plant-based meals,Breaded cheeses",France,1079.0,16.0,3.1,11.0,2.0,16.0,1.2,8.0
My original Doony's,e.leclerc,"Biscuits and cakes,Cakes,Doughnuts",France,1807.0,27.0,13.0,41.0,14.0,7.0,0.0,18.0
Dinde Farcie aux Pommes aux Figues & aux Marrons,Picard,"Frozen foods,Meals,Meat-based products,Meals with meat,Poultry meals,Frozen ready-made meals",France,707.0,8.8,3.2,2.7,2.6,19.0,0.53,1.0
Poularde Farcie aux Morilles et au Vin Jaune,Picard,"Frozen foods,Meals,Meat-based products,Meals with meat,Poultry meals,Frozen ready-made meals",France,900.0,15.0,5.2,2.0,0.5,17.0,0.47,1.0
Sauté de poulet blanc fermier,Picard,"Meats,Poultries,Chickens",France,556.0,5.9,1.8,0.0,0.0,20.0,0.18,-3.0
Coeur de couenne,"Le porc francais,Le porc français","Meats,Prepared meats,Hams,White hams",France,640.0,7.7,2.8,0.6,0.6,20.2,1.7,5.0
Bethmale (à la coupe),Leclerc,"Dairies,Fermented foods,Fermented milk products,Cheeses,Cow cheeses,French cheeses,Unpasteurised cheeses",France,1552.0,31.0,22.0,1.0,0.0,22.0,1.8,16.0
Comté 18 mois AOP Vieu Izenav,"Leclerc,traditions terroirs","Dairies,Fermented foods,Fermented milk products,Cheeses,Cooked pressed cheeses,French cheeses,Comté",France,2160.0,45.0,23.0,0.0,0.0,28.0,0.6,13.0
